,timescale,secs,sw_size
0,1000.0,1,8
1,1000.0,2,8
2,1000.0,3,8
3,1000.0,4,8
4,1000.0,5,8
5,1000.0,6,8
6,1000.0,7,8
7,1000.0,8,8
8,1000.0,9,8
9,1000.0,10,8
10,1000.0,11,8
11,1000.0,12,8
12,1000.0,13,8
13,1000.0,14,8
14,1000.0,15,8
15,1000.0,16,8
16,1000.0,17,8
17,1000.0,18,8
18,1000.0,19,8
19,1000.0,20,8
20,1000.0,21,8
21,1000.0,22,8
22,1000.0,23,8
23,1000.0,24,8
24,1000.0,25,8
25,1000.0,26,8
26,1000.0,27,8
27,1000.0,28,8
28,1000.0,29,8
29,1000.0,30,8
30,1000.0,31,8
31,1000.0,32,8
32,1000.0,33,8
33,1000.0,34,8
34,1000.0,35,8
35,1000.0,36,8
36,1000.0,37,8
37,1000.0,38,8
38,1000.0,39,8
39,1000.0,40,8
40,1000.0,41,8
41,1000.0,42,8
42,1000.0,43,8
43,1000.0,44,8
44,1000.0,45,8
45,1000.0,46,8
46,1000.0,47,8
47,1000.0,48,8
48,1000.0,49,8
49,1000.0,50,8
50,1000.0,51,8
51,1000.0,52,8
52,1000.0,53,8
53,1000.0,54,8
54,1000.0,55,8
55,1000.0,56,8
56,1000.0,57,8
57,1000.0,58,8
58,1000.0,59,8
59,1000.0,60,8
